%time,field.header.seq,field.header.stamp,field.header.frame_id,field.head,field.timeUTC,field.latitude,field.northOrSouth,field.longitude,field.eastOrWest,field.GPSstatus,field.satelliteNum,field.HDOP,field.altitude,field.altitudeUnit,field.geiod,field.geiodUnit,field.rtkAge,field.rtkID
1638155833015941640,61,1638155833002998114,/GNSS,$GPGGA,11832.4,40.0596383333,N,116.183083333,E,1,13,1.0,247.5,M,-9.8,M,0,
1638155833215920609,62,1638155833202998877,/GNSS,$GPGGA,11832.6,40.0596383333,N,116.183065,E,1,13,1.0,247.46,M,-9.8,M,0,
1638155833415922614,63,1638155833402998447,/GNSS,$GPGGA,11832.8,40.0596383333,N,116.183045,E,1,13,1.0,247.51,M,-9.8,M,0,
1638155833615959844,64,1638155833603002787,/GNSS,$GPGGA,11833.0,40.0596383333,N,116.183026667,E,1,13,1.0,247.53,M,-9.8,M,0,
1638155833815922585,65,1638155833802995920,/GNSS,$GPGGA,11833.2,40.0596366667,N,116.183008333,E,1,13,1.0,247.54,M,-9.8,M,0,
1638155834015958089,66,1638155834003012896,/GNSS,$GPGGA,11833.4,40.0596366667,N,116.18299,E,1,13,1.0,247.52,M,-9.8,M,0,
1638155834215956117,67,1638155834203002453,/GNSS,$GPGGA,11833.6,40.059635,N,116.182971667,E,1,13,1.0,247.54,M,-9.8,M,0,
1638155834416008461,68,1638155834403022051,/GNSS,$GPGGA,11833.8,40.059635,N,116.182953333,E,1,13,1.0,247.53,M,-9.8,M,0,
1638155834616047161,69,1638155834603032827,/GNSS,$GPGGA,11834.0,40.059635,N,116.182935,E,1,13,1.0,247.52,M,-9.8,M,0,
1638155834815934718,70,1638155834802966833,/GNSS,$GPGGA,11834.2,40.059635,N,116.182916667,E,1,13,1.0,247.47,M,-9.8,M,0,
1638155835016002088,71,1638155835002996206,/GNSS,$GPGGA,11834.4,40.059635,N,116.182896667,E,1,13,1.0,247.43,M,-9.8,M,0,
1638155835215931033,72,1638155835202962399,/GNSS,$GPGGA,11834.6,40.059635,N,116.182878333,E,1,13,1.0,247.43,M,-9.8,M,0,
1638155835415939537,73,1638155835402970076,/GNSS,$GPGGA,11834.8,40.0596333333,N,116.18286,E,1,13,1.0,247.45,M,-9.8,M,0,
1638155835615929967,74,1638155835602963209,/GNSS,$GPGGA,11835.0,40.0596333333,N,116.182841667,E,1,13,1.0,247.46,M,-9.8,M,0,
1638155835815933357,75,1638155835803006172,/GNSS,$GPGGA,11835.2,40.0596333333,N,116.182821667,E,1,13,1.0,247.49,M,-9.8,M,0,
1638155836015941652,76,1638155836003007412,/GNSS,$GPGGA,11835.4,40.0596333333,N,116.182803333,E,1,13,1.0,247.56,M,-9.8,M,0,
1638155836215931413,77,1638155836203003168,/GNSS,$GPGGA,11835.6,40.0596333333,N,116.182785,E,1,13,1.0,247.55,M,-9.8,M,0,
1638155836415931715,78,1638155836402996540,/GNSS,$GPGGA,11835.8,40.0596333333,N,116.182765,E,1,13,1.0,247.52,M,-9.8,M,0,
1638155836615926211,79,1638155836603001356,/GNSS,$GPGGA,11836.0,40.0596333333,N,116.182746667,E,1,13,1.0,247.48,M,-9.8,M,0,
1638155836815938307,80,1638155836802994728,/GNSS,$GPGGA,11836.2,40.0596333333,N,116.182728333,E,1,13,1.0,247.47,M,-9.8,M,0,
1638155837015999095,81,1638155837002997398,/GNSS,$GPGGA,11836.4,40.0596316667,N,116.18271,E,1,13,1.0,247.45,M,-9.8,M,0,
1638155837215930161,82,1638155837203000784,/GNSS,$GPGGA,11836.6,40.0596316667,N,116.18269,E,1,13,1.0,247.45,M,-9.8,M,0,
1638155837415926471,83,1638155837402997494,/GNSS,$GPGGA,11836.8,40.0596316667,N,116.182671667,E,1,13,1.0,247.45,M,-9.8,M,0,
1638155837615934968,84,1638155837603006363,/GNSS,$GPGGA,11837.0,40.0596316667,N,116.182653333,E,1,13,1.0,247.5,M,-9.8,M,0,
1638155837815906715,85,1638155837802963257,/GNSS,$GPGGA,11837.2,40.05963,N,116.182633333,E,1,13,1.0,247.52,M,-9.8,M,0,
1638155838015928038,86,1638155838002990007,/GNSS,$GPGGA,11837.4,40.05963,N,116.182615,E,1,13,1.0,247.51,M,-9.8,M,0,
1638155838215999849,87,1638155838203006744,/GNSS,$GPGGA,11837.6,40.05963,N,116.182596667,E,1,13,1.0,247.56,M,-9.8,M,0,
1638155838415968253,88,1638155838403011799,/GNSS,$GPGGA,11837.8,40.0596283333,N,116.182578333,E,1,13,1.0,247.53,M,-9.8,M,0,
1638155838615932130,89,1638155838603002787,/GNSS,$GPGGA,11838.0,40.0596283333,N,116.18256,E,1,13,1.0,247.59,M,-9.8,M,0,
1638155838815948392,90,1638155838802997112,/GNSS,$GPGGA,11838.2,40.0596283333,N,116.18254,E,1,13,1.0,247.6,M,-9.8,M,0,
1638155839015946866,91,1638155839002999067,/GNSS,$GPGGA,11838.4,40.0596283333,N,116.182521667,E,1,13,1.0,247.58,M,-9.8,M,0,
1638155839216011421,92,1638155839203018904,/GNSS,$GPGGA,11838.6,40.0596266667,N,116.182501667,E,1,13,1.0,247.58,M,-9.8,M,0,
1638155839415936591,93,1638155839402999401,/GNSS,$GPGGA,11838.8,40.0596266667,N,116.182483333,E,1,13,1.0,247.6,M,-9.8,M,0,
1638155839615925653,94,1638155839602993250,/GNSS,$GPGGA,11839.0,40.0596266667,N,116.182465,E,1,13,1.0,247.57,M,-9.8,M,0,
1638155839815974147,95,1638155839803001404,/GNSS,$GPGGA,11839.2,40.0596266667,N,116.182445,E,1,13,1.0,247.55,M,-9.8,M,0,
1638155840015985253,96,1638155840003016233,/GNSS,$GPGGA,11839.4,40.059625,N,116.182426667,E,1,13,1.0,247.54,M,-9.8,M,0,
1638155840215978181,97,1638155840202992201,/GNSS,$GPGGA,11839.6,40.059625,N,116.182408333,E,1,13,1.0,247.56,M,-9.8,M,0,
